cve_id,package_guess,cwe_id,cvss_base_score,cvss_exploitability,vuln_count_12m,days_since_patch,patch_lag_days,has_exploit,dependency_depth,maintainer_activity,severity_label
CVE-2013-1629,pip,CWE-20,6.8,8.6,1.0,4740.0,4740.0,1,10.0,1.17,MEDIUM
CVE-2013-1630,pyshop,CWE-20,6.8,8.6,1.0,1423.0,1423.0,0,1.0,0.0,MEDIUM
CVE-2013-1633,setuptools,CWE-20,6.8,8.6,1.0,4715.0,4715.0,0,10.0,1.33,MEDIUM
CVE-2019-6802,pypiserver,CWE-74,6.1,2.8,1.0,2573.0,2573.0,1,5.0,0.33,MEDIUM
CVE-2020-13328,issue,CWE-79,4.8,1.7,65.0,504.0,504.0,1,0.0,0.0,MEDIUM
CVE-2020-27589,blackduck,CWE-295,7.5,3.9,1.0,1260.0,1260.0,1,6.0,0.0,HIGH
CVE-2021-21371,for,CWE-502,5.0,1.8,11.0,,,0,,,MEDIUM
CVE-2021-29510,data,CWE-835,3.3,1.8,1.0,0.0,0.0,0,0.0,0.0,LOW
CVE-2021-39158,python,CWE-345,8.8,2.8,1.0,,,0,,,HIGH
CVE-2021-3840,dependency,CWE-427,8.8,2.8,1.0,0.0,0.0,0,0.0,0.0,HIGH
CVE-2022-0352,calibreweb,CWE-79,6.1,2.8,1.0,1469.0,1469.0,1,1.0,0.33,MEDIUM
CVE-2022-0273,calibreweb,CWE-284,6.5,2.8,2.0,1468.0,1468.0,1,1.0,0.33,MEDIUM
CVE-2022-0339,calibreweb,CWE-918,9.8,3.9,3.0,1468.0,1468.0,1,1.0,0.33,CRITICAL
CVE-2022-28470,marcador,NVD-CWE-noinfo,9.8,3.9,1.0,509.0,509.0,1,0.0,0.0,CRITICAL
CVE-2022-1431,issue,CWE-20,4.3,2.8,30.0,0.0,0.0,0,0.0,0.0,MEDIUM
CVE-2022-30877,keep,NVD-CWE-Other,9.8,3.9,1.0,784.0,784.0,1,2.0,0.0,CRITICAL
CVE-2022-30882,pyanxdns,NVD-CWE-noinfo,9.8,3.9,1.0,1.0,1.0,1,0.0,0.0,CRITICAL
CVE-2022-31313,package,NVD-CWE-noinfo,9.8,3.9,6.0,0.0,0.0,0,0.0,0.0,CRITICAL
CVE-2022-30885,pyesasky,NVD-CWE-Other,9.8,3.9,1.0,1411.0,1411.0,1,3.0,0.33,CRITICAL
CVE-2022-32997,package,NVD-CWE-noinfo,9.8,3.9,7.0,0.0,0.0,1,0.0,0.0,CRITICAL
CVE-2022-32998,package,NVD-CWE-noinfo,9.8,3.9,8.0,0.0,0.0,1,0.0,0.0,CRITICAL
CVE-2022-32999,cloudlabeling,NVD-CWE-noinfo,9.8,3.9,1.0,0.0,0.0,1,1.0,0.0,CRITICAL
CVE-2022-33000,package,NVD-CWE-noinfo,9.8,3.9,9.0,0.0,0.0,1,0.0,0.0,CRITICAL
CVE-2022-33001,package,NVD-CWE-noinfo,9.8,3.9,10.0,0.0,0.0,1,0.0,0.0,CRITICAL
CVE-2022-33002,package,NVD-CWE-noinfo,9.8,3.9,11.0,0.0,0.0,1,0.0,0.0,CRITICAL
CVE-2022-33003,watools,NVD-CWE-noinfo,9.8,3.9,1.0,0.0,0.0,1,0.0,0.0,CRITICAL
